,id,created,deadline,title,issues,type,count,body,url
15,2443571,2017-01-21 12:59:35,2017-02-20 12:59:35,Arrest and detainment of singer Madonna.,"Civil Rights & Equality, Government & Regulatory Reform, Homeland Security & Defense",Tell us what the federal government is doing about an issue,4767,"On January 21, 2017, Madonna was participating in a woman's march in D.C.. During her time there she had threatened to blow up the White House. Given her status as a so-called Icon to other Americans, her dangerous and violent rhetoric towards democracy can influence thousands of other Americans to commit acts of terrorism towards our country. She should be arrested, detained and charged under the anti-terror Bill C-51 for promoting terror in our Nation and be made an example of. This goes way beyond freedom of speech. Please do let let threats like these go unchecked. They are only mad because their candidate lost the election. Democracy is at risk. Please sign. Thank You.",https://petitions.whitehouse.gov/petition/arrest-and-detainment-singer-madonna
16,2444346,2017-01-21 15:34:24,2017-02-20 15:34:24,"Restore and maintain accurate, science-based information on climate change to the White House website.","Energy & Environment, Homeland Security & Defense, Technology & Innovation",Change an existing Administration policy,37643,"The broad scientific consensus is that climate change is real and that human action is a significant contributing factor.As an industrial nation, as one of the major contributors to greenhouse gas emissions, and as a leading academic and scientific center, it is incumbent upon the United States to take vigorous and proactive steps to understand the nature of climate change and to mitigate the effects on the planet. The president must display leadership and champion effective action before it is too late. Nature does not negotiate or give extensions.Please immediately restore information on climate change to the White House website and take strong action to show that the US will be a leader in addressing this global issue.",https://petitions.whitehouse.gov/petition/restore-and-maintain-accurate-science-based-information-climate-change-white-house-website
17,2445881,2017-01-21 20:27:57,2017-02-20 20:27:57,Demand justice for international students affected by ACICS' loss of accreditation power,"Education, Immigration",Propose a new Administration policy,2093,"We are aware that Department of Education (DOE) has revoked the Accrediting Council for Independent Colleges and Schools' (ACICS) accreditation power. But DOE did not consider the immediate harm done to existing international students.DOE should provide alternatives to existing students, which they failed to provide. Our goal is to achieve some allowance for international students. I am a current student in one of the universities which lost accreditation due to ACICS shut down.The withdrawal of recognition for ACICS, on 12/12/2016, has impacted the international student community on an immediate basis. More than 16,000 international students have been adversely affected by this decision.",https://petitions.whitehouse.gov/petition/demand-justice-international-students-affected-acics-loss-accreditation-power
18,2442946,2017-01-21 10:32:55,2017-02-20 10:32:55,Restore Education as a Constitutional Right &amp; Protect Medical Freedom,Education,Propose a new Administration policy,2137,"The right to a free, public education is guaranteed in the constitution. States are now passing laws to exclude students based on medical history (SB277 in California), which is a violation of their constitutional rights. It also sets a dangerous precedent to allow the states to mandate medical procedures in order to hold a job (SB792 in California passed already). California is not the only state with laws like these either passed already or in progress. Vaccination is a medical procedure with risks and cannot be a requirement in order to have access to the rights the constitution affords us.",https://petitions.whitehouse.gov/petition/restore-education-constitutional-right-protect-medical-freedom
19,2443081,2017-01-21 10:54:52,2017-02-20 10:54:52,Call on the The Republic of Cameroon government to stop the killing and marginalization of Anglophone Cameroonians.,"Civil Rights & Equality, Foreign Policy",Take or explain a position on an issue or policy,537,"For 50 plus years, the corrupt and dysfunctional government of the republic of Cameroon lead by Paul Biya has senselessly killed and marginalized Anglophone Cameroonians with recent killings and imprisonment of opposition leaders. For over four months, Anglophone Cameroonian lawyers, teachers, politicians, and students have been on strike due to the imposition of french laws and educational systems, and marginalization of the Anglophone regions of the country. We Americans of Cameroonian origin plead to President Donald J. Trump and the US Congress to call on Paul Biya to listen to the Anglophones and return the country back to the Federal System agreed to in the 1960 independence and unification deal. If Paul Biya does not listen, expel all Cameroonian diplomats from the United States.",https://petitions.whitehouse.gov/petition/call-republic-cameroon-government-stop-killing-and-marginalization-anglophone-cameroonians
20,2445146,2017-01-21 18:19:21,2017-02-20 18:19:21,Pledge to continue funding the National Endowment for the Arts and the National Endowment for the Humanities,"Budget & Taxes, Government & Regulatory Reform, Innovation: Arts & Technology",Take or explain a position on an issue or policy,9496,"The National Endowment for the Arts and the National Endowment for the Humanities provide critical funding for the creation, development, and research of the arts and humanities in the United States. Together, these funding sources allow artists to create world-renowned and distinctly American art, music, literature, poetry, and more while also providing all Americans the opportunity to experience these artistic endeavors by providing sustainable funding for museums, archives, libraries, colleges, universities, public television, public radio, and scholars. Without the funding provided by both the NEA and the NEH, many Americans would not be able to participate in the creation and appreciation of the arts and humanities, a decision that would inordinately effect rural and poor Americans.",https://petitions.whitehouse.gov/petition/pledge-continue-funding-national-endowment-arts-and-national-endowment-humanities
21,2446521,2017-01-21 23:09:30,2017-02-20 23:09:30,Charge Madonna with Terrorist Threats against the president of the United States of America.,Homeland Security & Defense,Take or explain a position on an issue or policy,5120,"The disgraceful, federally illegal rhetoric spewed by this terrorist is nothing less than punishable by prison time of at least five years federal jail time. We the people will not stand for this! Please sign this petition, so as to be sure she and her followers NEVER cross that line again! She must be arrested and charged NOW!",https://petitions.whitehouse.gov/petition/charge-madonna-terrorist-threats-against-president-united-states-america
22,2444041,2017-01-21 14:35:04,2017-02-20 14:35:04,"Reinstate Lt. Col. Terry Lakin into the U.S. Army with full rank, pay, benefits and pension immediately.","Civil Rights & Equality, Criminal Justice Reform, Veterans & Military",Call on Congress to act on an issue,5950,"The former Lt. Col. Terrence Lakin was a highly-decorated Army flight surgeon who questioned whether or not the orders he received from Obama were legitimate. Court-martialed, imprisoned, expelled from the Army and denied pay, pension and benefits, Terry was merely  following his officer's oath and constitutional duty.  It is an outrage that this was allowed to happen. Obama refused to answer Terry's letter and ended up producing a forged birth certificate.  Terry who was a medical doctor is a valuable asset to the American military and the fact that his military chain of command and his congressional representatives allowed him to be court-martialed and run out of the army is an outrage for all Americans. This grave injustice needs to be addressed and corrected ASAP.",https://petitions.whitehouse.gov/petition/reinstate-lt-col-terry-lakin-us-army-full-rank-pay-benefits-and-pension-immediately
23,2440436,2017-01-20 22:16:57,2017-02-19 22:16:57,Preserve the National Endowment for the Arts and the National Endowment for the Humanities,"Budget & Taxes, Education, Innovation: Arts & Technology",Take or explain a position on an issue or policy,198400,"The Arts and Humanities  are a vital part of our cultural identity and enhance the quality of our lives. They connect us to the past, they speak to us in the present, and they are our legacy, our gift to the future.  Investing in them is never a waste, and I strongly urge that both the National Endowment for the Arts and National Endowment for the Humanities continue to receive federal funding.",https://petitions.whitehouse.gov/petition/preserve-national-endowment-arts-and-national-endowment-humanities
24,2441596,2017-01-21 06:17:25,2017-02-20 06:17:25,The United States must stop investing in fossil fuels and lead the global efforts to stop climate change,"Economy & Jobs, Energy & Environment, Technology & Innovation",Change an existing Administration policy,3261,"The United States is the second largest contributor to CO2 emissions and climate change in the world and has double the per capita emissions of both China and the European Union.The current Administration plans to worsen this situation by investing in the use of damaging, expensive, and obsolete energy sources such as coal, shale, and oil.An ""America First Energy Plan"" should focus on investing in the enormous cheap and local renewable resources which are available in America and remain currently untapped.This has the potential to continue the growth of a new industry which is bringing to the US new jobs, independence from foreign oil and helps protect the environment, guaranteeing  that future generations will be able to live in a prosperous, safe, and healthy world.",https://petitions.whitehouse.gov/petition/united-states-must-stop-investing-fossil-fuels-and-lead-global-efforts-stop-climate-change
25,2438091,2017-01-20 16:29:48,2017-02-19 16:29:48,Stop H1B abuse,"Economy & Jobs, Immigration",Propose a new Administration policy,1215,"Every year thousands of foreign tech workers come to the US and displace American tech workers. The H1B program was created to allow highly skilled foreign workers to come to the US to temporarily fill gaps in the American work force. Today most H1B visas are issued to workers of large outsourcing vendors and those vendors are using the visa holders as cheap labor to replace US workers. The number of H1B visas issued each year should be reduced and the minimum salary should be raised to return the program to what it was meant to be. A way of bringing highly skilled workers to the US (and paying them what they are worth) to fill gaps, not to unemploy American workers.",https://petitions.whitehouse.gov/petition/stop-h1b-abuse
26,2444236,2017-01-21 15:15:32,2017-02-20 15:15:32,Impeach Donald Trump,"Budget & Taxes, Government & Regulatory Reform",Propose a new Administration policy,8096,"- Whereas Donald Trump lost the popular vote by nearly three million votes;- Whereas Donald Trump has yet to resolve the ethical and possibly criminal conflicts between his businesses and his duties as public servant;- Whereas Donald Trump has refused to release his tax returns or declare his financial interests;- Whereas Donald Trump is a self-professed sexual predator and climate change denier;- Whereas Donald Trump is unprepared for the job of president;His tenure in office will degrade the dignity of government, debase respect for public servants, undermine national security, and enable broad forms of corruption, malfeasance and dereliction. - Therefore, we demand that he be removed from office so that the business of government can be conducted in a serious and ethical manner.",https://petitions.whitehouse.gov/petition/impeach-donald-trump-8
27,2447691,2017-01-22 08:32:00,2017-02-21 08:32:00,"A proposal to continue funding the National Endowment for the Arts, or provide methods for alternative revenue streams.","Budget & Taxes, Education, Innovation: Arts & Technology",Take or explain a position on an issue or policy,514,"A proposal to continue funding the National Endowment for the Arts, or provide methods for alternative revenue streams in the coming fiscal years to preserve the ARTS in America.The NEA has been in service for 50 years now and has received over $5 billion in awards dedicated to preserving ART and Culture in America.With a sector comprising 4.2 percent x or $704 billion x of GDP, and nearly five million workers in U.S. arts and cultural industries, arts jobs are real jobs that are part of the real economy. Arts workers pay taxes, and art contributes to economic growth.Beyond economic impacts, the arts contribute to neighborhood revitalization and the livability of American towns and cities.",https://petitions.whitehouse.gov/petition/proposal-continue-funding-national-endowment-arts-or-provide-methods-alternative-revenue-streams
28,2448831,2017-01-22 12:20:56,2017-02-21 12:20:56,TAKE CNN OF THE AIR,"Education, Government & Regulatory Reform, Rural Policy",Propose a new Administration policy,934,"CNN HAS BEEN CAUGHT SEVERAL TIMES ALTERING TRUTH &amp; EVEN LYING TO CREATE AN AGENDA. THIS IS NOT ACCEPTABLE... WE THE PEOPLE FEEL THAT NEWS ORGANIZATIONS SHOULD BE GIVING HONEST, FAIR &amp; UNBIASED INVESTIGATIVE REPORTING... THE MSM (WITH CNN LEADING THE WAY) REFUSES TO BE FAIR &amp; HONEST.  WE WANT CNN TO BE USED AS AN EXAMPLE OF WHAT HAPPENS TO ""NEWS"" ORGANIZATIONS WHEN THEY ARE CAUGHT LYING ABOUT INFORMATION &amp; BE TAKEN OFF THE AIR... WE ARE TIRED OF THE LIES, THE PROPAGANDA &amp; THE AGENDA DRIVEN MOTIVES &amp; WANT SOMETHING DONE... WE THE PEOPLE NO LONGER WISH TO BE LIED TO TO PROMOTE THEIR AGENDAS.....",https://petitions.whitehouse.gov/petition/take-cnn-air
29,2448971,2017-01-22 12:44:00,2017-02-21 12:44:00,We ask the new administration to work with Congress to extend U.S. residency to those holding DACA status.,"Civil Rights & Equality, Education, Immigration",Propose a new Administration policy,646,Those who entered the United States as minors should have a clear path toward becoming US residents. The passage of Deferred Action for Childhood Arrivals (DACA) as an executive action in 2012 granted undocumented immigrants who entered the country before their 16th birthday and before June 2007 temporary protection from deportation. DACA has allowed them to pursue academic study and enrich our communities through their involvement. The DACA program should be improved upon by making full residency possible within a reasonable timeframe. This would be an important first step toward real immigration reform. Those who contribute their labor and talents to our communities should feel respected in the USA.,https://petitions.whitehouse.gov/petition/we-ask-new-administration-work-congress-extend-us-residency-those-holding-daca-status
30,2438386,2017-01-20 16:58:05,2017-02-19 16:58:05,Act on Climate Now,"Energy & Environment, Homeland Security & Defense, Technology & Innovation",Take or explain a position on an issue or policy,649,"The world just experienced the third straight year of record high temperatures. Climate change threatens Americaxs economy, national security, and public health and safety. We urge Donald Trump and his administration to take the following key steps to address climate change immediately:1) Grow our economy by making the United States a leader in clean energy like solar and wind.2) Reduce our dependence on fossil fuels and its associated carbon pollution.3) Maintain and strengthen the regulations which keep our air and water clean. 4) Implement climate preparedness programs. 5) Publicly acknowledge that climate change is a real, human-caused, and urgent threat.6) Protect scientific integrity in policy making.7) Uphold the United States commitment to the Paris Climate Agreement.",https://petitions.whitehouse.gov/petition/act-climate-now
31,2437226,2017-01-20 14:58:06,2017-02-19 14:58:06,Immediately investigate the pedophile code language found in the Stratfor and Podesta emails released by Wikileaks,"Civil Rights & Equality, Criminal Justice Reform, Government & Regulatory Reform",Tell us what the federal government is doing about an issue,3390,"The emails released by Wikileaks from the account of John Podesta contain declassified FBI code language used by pedophiles. We the people demand a thorough, exhaustive investigation into the terrifying implications of this alleged behavior and wish that all who are involved, no matter how powerful, be prosecuted under the full extent of the law. The same code can be found in the emails of Stratfor employees also released by Wikileaks. This action must be taken to preserve the very fabric of our country and to protect children everywhere who are being abused and trafficked for the sick delight of so many powerful elites. President Trump, there is no better example of draining the swamp, than by flushing these predators down the drain.",https://petitions.whitehouse.gov/petition/immediately-investigate-pedophile-code-language-found-stratfor-and-podesta-emails-released-wikileaks
32,2439411,2017-01-20 19:18:42,2017-02-19 19:18:42,Remove Regulations and Unconstitutional Tax on Short Barreled Rifles (SBR) of National Firearms Act of 1934,"Budget & Taxes, Homeland Security & Defense, Veterans & Military",Change an existing Administration policy,764,"This act was placed into effect during a time of unprecedented gangster violence. It is outdated and Unconstitutional. This is irrelevant to the common day usage of SBR's which are used for sporting and hunting purposes. Definition: A weapon made from a rifle if such weapon as modified has an overall length of less than 26 inches or a barrel or barrels of less than 16 inches in length; A pistol (16"" or less barrel without buttstock) AR is legal and a Rifle (16"" or longer barrel with buttstock) AR is legal. We should not have to pay an unconstitutional Tax that is from 83 years ago for owning a gun that falls in the middle of the two . The law does nothing but take more money from law abiding citizens. Please remove this unconstitutional and infringing GOD given right!",https://petitions.whitehouse.gov/petition/remove-regulations-and-unconstitutional-tax-short-barreled-rifles-sbr-national-firearms-act-1934
33,2450016,2017-01-22 15:51:20,2017-02-21 15:51:20,Make Antifa and similar militant leftist groups labeled a terrorist or criminal organization.,"Civil Rights & Equality, Criminal Justice Reform, Homeland Security & Defense",Propose a new Administration policy,542,Certain militant elements of the left IE Black blocs Anarchists and Antifa make a habit of attacking anyone they view as right wing specifically president Trump they are anti free speech and are against american values  by using violence to intimidate their opponents. we would like the police to take a more active role in preventing them from being able to attack at will.,https://petitions.whitehouse.gov/petition/make-antifa-and-similar-militant-leftist-groups-labeled-terrorist-or-criminal-organization
34,2451886,2017-01-23 01:08:08,2017-02-22 01:08:08,"Commute or Pardon Sergeant Miller, review all current military prisoners and review the Uniform Code of Military Justice","Homeland Security & Defense, Veterans & Military",Call on Congress to act on an issue,265,"Sergeant Miller is serving a Life Sentence at Fort Leavenworth, for acting in Self Defense in the 11th month of a deployment he had volunteered for back in 2010. It was his second deployment he had volunteered for and his 3rd deployment in 4 years. We're asking for Sergeant Miller to be pardoned or have his sentence commuted, at the very least. We're also asking for all current US soldiers incarcerated to be reviewed. Thirdly, we're asking for congress to review the current Uniform Code of Military Justice.",https://petitions.whitehouse.gov/petition/commute-or-pardon-sergeant-miller-review-all-current-military-prisoners-and-review-uniform-code-military-justice-0
35,2454876,2017-01-23 13:46:58,2017-02-22 13:46:58,"We the People call upon the Congress, the President, and the government of Michigan to decontaminate the water of Flint.","Energy & Environment, Rural Policy, Transportation & Infrastructure",Call on Congress to act on an issue,2057,"It is shameful that the United States, a first world and developed country, is allowing one of its cities to go without a basic human need; clean drinking water.  Congress must pass a bill to fund the changing of Flint's water lines and decontaminate its water supply.  In the meantime, clean drinking water must be provided to the city of Flint at no cost to Flint, and Flint's  substantial debts must be payed in full.",https://petitions.whitehouse.gov/petition/we-people-call-upon-congress-president-and-government-michigan-decontaminate-water-flint
36,2441281,2017-01-21 04:59:22,2017-02-20 04:59:22,"Do Not Take Health Insurance Away From 59 Million Americans, Protect the ACA and the Medicaid Expansion","Civil Rights & Equality, Economy & Jobs, Health Care",Propose a new Administration policy,753,"Any efforts to weaken the Affordable Care Act by repealing critical provisions such as the Individual Mandate and the requirement to cover Preexisting Conditions would lead to catastrophic loss of healthcare for 20 million individuals many of whom the insurance companies refused to insure prior to the ACA. Repealing the Medicaid Expansion will exacerbate this further, costing an additional 39 million people insurance. In addition, repealing the Affordable Care Act would add an additional trillion dollars to the national debt. Taking away health insurance from 59 million americans is completely unacceptable. It would cost people's lives. President Trump, please veto any changes short of the single-payer, Canadian-style system that you promised Americans while running for President.",https://petitions.whitehouse.gov/petition/do-not-take-health-insurance-away-59-million-americans-protect-aca-and-medicaid-expansion
37,2449466,2017-01-22 14:15:30,2017-02-21 14:15:30,Re-Open the Schuylkill Valley Metro Commuter Rail--an existing PA rail line connecting Philadelphia and Reading,"Budget & Taxes, Economy & Jobs, Transportation & Infrastructure",Call on Congress to act on an issue,318,"Septa is the 5th busiest commuter rail in the US.Over 110,000 vehicles per day travel on route 422, heading towards Philadelphia. This highway simply cannot accommodate the amount of traffic that continues to grow each year, as the suburbs become more and more populated.There is an existing rail line between Philadelphia and Reading, PA, which is no longer used as a commuter line, as it was closed to commuter trains in the late 1970's.If the federal government funded a project to re-open this regional rail, many jobs would be created, traffic on the highway and vehicle emissions would decrease, and the towns along the rail would see an economic boom. The Schuylkill Valley Metro project has been extensively studied with results supporting the above statements.",https://petitions.whitehouse.gov/petition/re-open-schuylkill-valley-metro-commuter-rail-existing-pa-rail-line-connecting-philadelphia-and-reading
38,2440441,2017-01-20 22:19:44,2017-02-19 22:19:44,A petition to open immigration for White South Africans based upon refugee status.,"Civil Rights & Equality, Foreign Policy, Immigration",Propose a new Administration policy,293,"This petition is set up to ask President Donald Trump and the Congress to grant all White South Africans refugee status based upon the White Genocide that is, and has been, occurring. Since the communist African National Congress (ANC) took over South Africa, more than 70,000 Whites have been murdered and untold numbers have been robbed, raped and tortured. The website xGenocideWatch.comx observes: xAbout 50 people on average are murdered in South Africa per day, of which at least 20 of them are whites (95% black-on-white murder rate). Please take into consideration that white people make up only 9% (4,500,000) of the demographics in South Africa, and therefore the white murder rate in South Africa is quite significant.xGive White South Africans a chance, give them Refugee status.",https://petitions.whitehouse.gov/petition/petition-open-immigration-white-south-africans-based-upon-refugee-status
39,2437171,2017-01-20 14:52:23,2017-02-19 14:52:23,"Fairness for High-Skilled Immigrants (first come, first serve) - H.R. 392",Immigration,Call on Congress to act on an issue,3363,"This petition is to urge House and Senate to pass H.R. 392 currently pending in the Congress. The legal (high-skilled) immigration system discriminates based on country-of-birth by allocating quotas for individual countries.  For example, a small country like Singapore receives 2,800 green card numbers while the same number of green cards are allocated to big countries like China/India.   Therefore, individuals from larger countries have to wait for decades for availability of green card numbers.  The proposed bill removes the per-country limitation, and makes the system first-come, first-serve. The bill would make the system fair for everybody and stops discrimination based on country-of-birth.The bill does NOT propose increase in overall immigration number",https://petitions.whitehouse.gov/petition/fairness-high-skilled-immigrants-first-come-first-serve-hr-392
40,2437306,2017-01-20 15:07:29,2017-02-19 15:07:29,"Do not embrace Shale Oil, the Coal industry and do not open up more public lands, forests and wetlands to drilling.","Energy & Environment, Government & Regulatory Reform, Technology & Innovation",Change an existing Administration policy,576,"Clean air matters. Clean water matters. Solar energy is now far cheaper than shale oil, natural gas and coal. To expand on oil drilling, and coal mining at the expense of breathable air, drinkable water and thriving wild life would be an asinine move. However, this backwards position is what Trump has touted in his official energy plan... https://www.whitehouse.gov/america-first-energyIf we care about America, we should not adopt a policy to pollute it. Let's embrace solar, it is now cheaper than oil, coal and natural gas... http://www.popularmechanics.com/science/green-tech/a24357/solar-power-cheapest-energy/",https://petitions.whitehouse.gov/petition/do-not-embrace-shale-oil-coal-industry-and-do-not-open-more-public-lands-forests-and-wetlands-drilling
41,2437456,2017-01-20 15:20:02,2017-02-19 15:20:02,Restore the LGBT Rights page on whitehouse.gov to show POTUS is committed to promoting FULL equality.,Civil Rights & Equality,Take or explain a position on an issue or policy,299,"Within seconds of the President's inauguration, the LGBT Rights page disappeared from whitehouse.gov, leading LGBT citizens to believe that our new President truly supports the goals of anti-LGBT activist groups who want to destroy marriage equality and other civil rights protections for lesbian, gay, bisexual, and transgender citizens.  We ask that the POTUS demonstrate that he truly plans to defend the rights of ALL Americans, rather than destroying the advances that so many have worked tirelessly to gain.",https://petitions.whitehouse.gov/petition/restore-lgbt-rights-page-whitehousegov-show-potus-committed-promoting-full-equality
42,2453271,2017-01-23 08:37:08,2017-02-22 08:37:08,Establish an Office of Men's Health at the U.S. Department of Health and Human Services,"Government & Regulatory Reform, Health Care, Veterans & Military",Propose a new Administration policy,400,"We petition for the establishment of an Office of Mens Health at the U.S. Department of Health and Human Services. This office would mirror the work of the existing Office of Womens Health, which has helped to save thousands of lives and has improved the lives of many more.  Men die 6 years younger than women and suffer higher mortality rates for the top 10 causes of death. The lives of hundreds of thousands of men will continue to be threatened unless immediate action is taken to combat this growing crisis.  The Office of Mens Health will coordinate the fragmented mens health awareness, prevention, and research efforts now being conducted by federal and state government.  An Office of Mens Health will help our economy and provide needed resources as health care moves to local management.",https://petitions.whitehouse.gov/petition/establish-office-mens-health-us-department-health-and-human-services
