,body,created,deadline,id,isPublic,isSignable,issues,petition_type,reachedPublic,signatureCount,signatureThreshold,signaturesNeeded,status,title,type,url
228,"Septa is the 5th busiest commuter rail in the US.
Over 110,000 vehicles per day travel on route 422, heading towards Philadelphia. This highway simply cannot accommodate the amount of traffic that continues to grow each year, as the suburbs become more and more populated.
There is an existing rail line between Philadelphia and Reading, PA, which is no longer used as a commuter line, as it was closed to commuter trains in the late 1970's.
If the federal government funded a project to re-open this regional rail, many jobs would be created, traffic on the highway and vehicle emissions would decrease, and the towns along the rail would see an economic boom. The Schuylkill Valley Metro project has been extensively studied with results supporting the above statements.",1485123330,1487715330,2449466,True,False,"Budget & Taxes, Economy & Jobs, Transportation & Infrastructure",Call on Congress to act on an issue,1486363250,321,100000,99679,closed,Re-Open the Schuylkill Valley Metro Commuter Rail--an existing PA rail line connecting Philadelphia and Reading,petition,https://petitions.whitehouse.gov/petition/re-open-schuylkill-valley-metro-commuter-rail-existing-pa-rail-line-connecting-philadelphia-and-reading
229,"Any efforts to weaken the Affordable Care Act by repealing critical provisions such as the Individual Mandate and the requirement to cover Preexisting Conditions would lead to catastrophic loss of healthcare for 20 million individuals many of whom the insurance companies refused to insure prior to the ACA. Repealing the Medicaid Expansion will exacerbate this further, costing an additional 39 million people insurance. In addition, repealing the Affordable Care Act would add an additional trillion dollars to the national debt. Taking away health insurance from 59 million americans is completely unacceptable. It would cost people's lives. President Trump, please veto any changes short of the single-payer, Canadian-style system that you promised Americans while running for President.",1485003562,1487595562,2441281,True,False,"Civil Rights & Equality, Economy & Jobs, Health Care",Propose a new Administration policy,1486357271,836,100000,99164,closed,"Do Not Take Health Insurance Away From 59 Million Americans, Protect the ACA and the Medicaid Expansion",petition,https://petitions.whitehouse.gov/petition/do-not-take-health-insurance-away-59-million-americans-protect-aca-and-medicaid-expansion
230,"It is shameful that the United States, a first world and developed country, is allowing one of its cities to go without a basic human need; clean drinking water.  Congress must pass a bill to fund the changing of Flint&amp;#039;s water lines and decontaminate its water supply.  In the meantime, clean drinking water must be provided to the city of Flint at no cost to Flint, and Flint's  substantial debts must be payed in full.",1485208018,1487800018,2454876,True,False,"Energy & Environment, Rural Policy, Transportation & Infrastructure",Call on Congress to act on an issue,1486343374,2370,100000,97630,closed,"We the People call upon the Congress, the President, and the government of Michigan to decontaminate the water of Flint.",petition,https://petitions.whitehouse.gov/petition/we-people-call-upon-congress-president-and-government-michigan-decontaminate-water-flint
231,"Sergeant Miller is serving a Life Sentence at Fort Leavenworth, for acting in Self Defense in the 11th month of a deployment he had volunteered for back in 2010. It was his second deployment he had volunteered for and his 3rd deployment in 4 years. We're asking for Sergeant Miller to be pardoned or have his sentence commuted, at the very least. We're also asking for all current US soldiers incarcerated to be reviewed. Thirdly, we're asking for congress to review the current Uniform Code of Military Justice.",1485162488,1487754488,2451886,True,False,"Homeland Security & Defense, Veterans & Military",Call on Congress to act on an issue,1486328742,279,100000,99721,closed,"Commute or Pardon Sergeant Miller, review all current military prisoners and review the Uniform Code of Military Justice",petition,https://petitions.whitehouse.gov/petition/commute-or-pardon-sergeant-miller-review-all-current-military-prisoners-and-review-uniform-code-military-justice-0
232,Certain militant elements of the left IE Black blocs Anarchists and Antifa make a habit of attacking anyone they view as right wing specifically president Trump they are anti free speech and are against american values  by using violence to intimidate their opponents. we would like the police to take a more active role in preventing them from being able to attack at will.,1485129080,1487721080,2450016,True,False,"Civil Rights & Equality, Criminal Justice Reform, Homeland Security & Defense",Propose a new Administration policy,1486326576,567,100000,99433,closed,Make Antifa and similar militant leftist groups labeled a terrorist or criminal organization.,petition,https://petitions.whitehouse.gov/petition/make-antifa-and-similar-militant-leftist-groups-labeled-terrorist-or-criminal-organization
233,"This act was placed into effect during a time of unprecedented gangster violence. It is outdated and Unconstitutional. This is irrelevant to the common day usage of SBR's which are used for sporting and hunting purposes. Definition: A weapon made from a rifle if such weapon as modified has an overall length of less than 26 inches or a barrel or barrels of less than 16 inches in length; A pistol (16"" or less barrel without buttstock) AR is legal and a Rifle (16"" or longer barrel with buttstock) AR is legal. We should not have to pay an unconstitutional Tax that is from 83 years ago for owning a gun that falls in the middle of the two . The law does nothing but take more money from law abiding citizens. Please remove this unconstitutional and infringing GOD given right!",1484968722,1487560722,2439411,True,False,"Budget & Taxes, Homeland Security & Defense, Veterans & Military",Change an existing Administration policy,1486306771,941,100000,99059,closed,Remove Regulations and Unconstitutional Tax on Short Barreled Rifles (SBR) of National Firearms Act of 1934,petition,https://petitions.whitehouse.gov/petition/remove-regulations-and-unconstitutional-tax-short-barreled-rifles-sbr-national-firearms-act-1934
234,"The emails released by Wikileaks from the account of John Podesta contain declassified FBI code language used by pedophiles. We the people demand a thorough, exhaustive investigation into the terrifying implications of this alleged behavior and wish that all who are involved, no matter how powerful, be prosecuted under the full extent of the law. The same code can be found in the emails of Stratfor employees also released by Wikileaks. This action must be taken to preserve the very fabric of our country and to protect children everywhere who are being abused and trafficked for the sick delight of so many powerful elites. President Trump, there is no better example of draining the swamp, than by flushing these predators down the drain.",1484953086,1487545086,2437226,True,False,"Civil Rights & Equality, Criminal Justice Reform, Government & Regulatory Reform",Tell us what the federal government is doing about an issue,1486268259,3575,100000,96425,closed,Immediately investigate the pedophile code language found in the Stratfor and Podesta emails released by Wikileaks,petition,https://petitions.whitehouse.gov/petition/immediately-investigate-pedophile-code-language-found-stratfor-and-podesta-emails-released-wikileaks
235,"The world just experienced the third straight year of record high temperatures. Climate change threatens Americaxs economy, national security, and public health and safety. We urge Donald Trump and his administration to take the following key steps to address climate change immediately:

1) Grow our economy by making the United States a leader in clean energy like solar and wind.
2) Reduce our dependence on fossil fuels and its associated carbon pollution.
3) Maintain and strengthen the regulations which keep our air and water clean. 
4) Implement climate preparedness programs. 
5) Publicly acknowledge that climate change is a real, human-caused, and urgent threat.
6) Protect scientific integrity in policy making.
7) Uphold the United States commitment to the Paris Climate Agreement.",1484960285,1487552285,2438386,True,False,"Energy & Environment, Homeland Security & Defense, Technology & Innovation",Take or explain a position on an issue or policy,1486207302,676,100000,99324,closed,Act on Climate Now,petition,https://petitions.whitehouse.gov/petition/act-climate-now
236,Those who entered the United States as minors should have a clear path toward becoming US residents. The passage of Deferred Action for Childhood Arrivals (DACA) as an executive action in 2012 granted undocumented immigrants who entered the country before their 16th birthday and before June 2007 temporary protection from deportation. DACA has allowed them to pursue academic study and enrich our communities through their involvement. The DACA program should be improved upon by making full residency possible within a reasonable timeframe. This would be an important first step toward real immigration reform. Those who contribute their labor and talents to our communities should feel respected in the USA.,1485117840,1487709840,2448971,True,False,"Civil Rights & Equality, Education, Immigration",Propose a new Administration policy,1486191012,673,100000,99327,closed,We ask the new administration to work with Congress to extend U.S. residency to those holding DACA status.,petition,https://petitions.whitehouse.gov/petition/we-ask-new-administration-work-congress-extend-us-residency-those-holding-daca-status
237,"CNN HAS BEEN CAUGHT SEVERAL TIMES ALTERING TRUTH &amp; EVEN LYING TO CREATE AN AGENDA. THIS IS NOT ACCEPTABLE... WE THE PEOPLE FEEL THAT NEWS ORGANIZATIONS SHOULD BE GIVING HONEST, FAIR &amp; UNBIASED INVESTIGATIVE REPORTING... THE MSM (WITH CNN LEADING THE WAY) REFUSES TO BE FAIR &amp; HONEST.  WE WANT CNN TO BE USED AS AN EXAMPLE OF WHAT HAPPENS TO ""NEWS"" ORGANIZATIONS WHEN THEY ARE CAUGHT LYING ABOUT INFORMATION &amp; BE TAKEN OFF THE AIR... WE ARE TIRED OF THE LIES, THE PROPAGANDA &amp; THE AGENDA DRIVEN MOTIVES &amp; WANT SOMETHING DONE... WE THE PEOPLE NO LONGER WISH TO BE LIED TO TO PROMOTE THEIR AGENDAS.....",1485116456,1487708456,2448831,True,False,"Education, Government & Regulatory Reform, Rural Policy",Propose a new Administration policy,1486090017,1037,100000,98963,closed,TAKE CNN OF THE AIR,petition,https://petitions.whitehouse.gov/petition/take-cnn-air
238,"A proposal to continue funding the National Endowment for the Arts, or provide methods for alternative revenue streams in the coming fiscal years to preserve the ARTS in America.

The NEA has been in service for 50 years now and has received over $5 billion in awards dedicated to preserving ART and Culture in America.

With a sector comprising 4.2 percent x or $704 billion x of GDP, and nearly five million workers in U.S. arts and cultural industries, arts jobs are real jobs that are part of the real economy. Arts workers pay taxes, and art contributes to economic growth.

Beyond economic impacts, the arts contribute to neighborhood revitalization and the livability of American towns and cities.",1485102720,1487694720,2447691,True,False,"Budget & Taxes, Education, Innovation: Arts & Technology",Take or explain a position on an issue or policy,1486017962,523,100000,99477,closed,"A proposal to continue funding the National Endowment for the Arts, or provide methods for alternative revenue streams.",petition,https://petitions.whitehouse.gov/petition/proposal-continue-funding-national-endowment-arts-or-provide-methods-alternative-revenue-streams
239,"- Whereas Donald Trump lost the popular vote by nearly three million votes;
- Whereas Donald Trump has yet to resolve the ethical and possibly criminal conflicts between his businesses and his duties as public servant;
- Whereas Donald Trump has refused to release his tax returns or declare his financial interests;
- Whereas Donald Trump is a self-professed sexual predator and climate change denier;
- Whereas Donald Trump is unprepared for the job of president;
His tenure in office will degrade the dignity of government, debase respect for public servants, undermine national security, and enable broad forms of corruption, malfeasance and dereliction. 
- Therefore, we demand that he be removed from office so that the business of government can be conducted in a serious and ethical manner.",1485040532,1487632532,2444236,True,False,"Budget & Taxes, Government & Regulatory Reform",Propose a new Administration policy,1485983800,8538,100000,91462,closed,Impeach Donald Trump,petition,https://petitions.whitehouse.gov/petition/impeach-donald-trump-8
240,"Every year thousands of foreign tech workers come to the US and displace American tech workers. The H1B program was created to allow highly skilled foreign workers to come to the US to temporarily fill gaps in the American work force. Today most H1B visas are issued to workers of large outsourcing vendors and those vendors are using the visa holders as cheap labor to replace US workers. The number of H1B visas issued each year should be reduced and the minimum salary should be raised to return the program to what it was meant to be. A way of bringing highly skilled workers to the US (and paying them what they are worth) to fill gaps, not to unemploy American workers.",1484958588,1487550588,2438091,True,False,"Economy & Jobs, Immigration",Propose a new Administration policy,1485823521,1268,100000,98732,closed,Stop H1B abuse,petition,https://petitions.whitehouse.gov/petition/stop-h1b-abuse
241,"The United States is the second largest contributor to CO2 emissions and climate change in the world and has double the per capita emissions of both China and the European Union.

The current Administration plans to worsen this situation by investing in the use of damaging, expensive, and obsolete energy sources such as coal, shale, and oil.

An ""America First Energy Plan"" should focus on investing in the enormous cheap and local renewable resources which are available in America and remain currently untapped.

This has the potential to continue the growth of a new industry which is bringing to the US new jobs, independence from foreign oil and helps protect the environment, guaranteeing  that future generations will be able to live in a prosperous, safe, and healthy world.",1485008245,1487600245,2441596,True,False,"Economy & Jobs, Energy & Environment, Technology & Innovation",Change an existing Administration policy,1485690864,3433,100000,96567,closed,The United States must stop investing in fossil fuels and lead the global efforts to stop climate change,petition,https://petitions.whitehouse.gov/petition/united-states-must-stop-investing-fossil-fuels-and-lead-global-efforts-stop-climate-change
242,"The Arts and Humanities  are a vital part of our cultural identity and enhance the quality of our lives. They connect us to the past, they speak to us in the present, and they are our legacy, our gift to the future.  Investing in them is never a waste, and I strongly urge that both the National Endowment for the Arts and National Endowment for the Humanities continue to receive federal funding.",1484979417,1487571417,2440436,True,True,"Budget & Taxes, Education, Innovation: Arts & Technology",Take or explain a position on an issue or policy,1485587135,208697,100000,0,pending response,Preserve the National Endowment for the Arts and the National Endowment for the Humanities,petition,https://petitions.whitehouse.gov/petition/preserve-national-endowment-arts-and-national-endowment-humanities
243,"The former Lt. Col. Terrence Lakin was a highly-decorated Army flight surgeon who questioned whether or not the orders he received from Obama were legitimate. Court-martialed, imprisoned, expelled from the Army and denied pay, pension and benefits, Terry was merely  following his officer's oath and constitutional duty.  It is an outrage that this was allowed to happen. Obama refused to answer Terry's letter and ended up producing a forged birth certificate.  Terry who was a medical doctor is a valuable asset to the American military and the fact that his military chain of command and his congressional representatives allowed him to be court-martialed and run out of the army is an outrage for all Americans. This grave injustice needs to be addressed and corrected ASAP.",1485038104,1487630104,2444041,True,False,"Civil Rights & Equality, Criminal Justice Reform, Veterans & Military",Call on Congress to act on an issue,1485547849,6143,100000,93857,closed,"Reinstate Lt. Col. Terry Lakin into the U.S. Army with full rank, pay, benefits and pension immediately.",petition,https://petitions.whitehouse.gov/petition/reinstate-lt-col-terry-lakin-us-army-full-rank-pay-benefits-and-pension-immediately
244,"The disgraceful, federally illegal rhetoric spewed by this terrorist is nothing less than punishable by prison time of at least five years federal jail time. We the people will not stand for this! Please sign this petition, so as to be sure she and her followers NEVER cross that line again! She must be arrested and charged NOW!",1485068970,1487660970,2446521,True,False,Homeland Security & Defense,Take or explain a position on an issue or policy,1485434257,5419,100000,94581,closed,Charge Madonna with Terrorist Threats against the president of the United States of America.,petition,https://petitions.whitehouse.gov/petition/charge-madonna-terrorist-threats-against-president-united-states-america
245,"The National Endowment for the Arts and the National Endowment for the Humanities provide critical funding for the creation, development, and research of the arts and humanities in the United States. Together, these funding sources allow artists to create world-renowned and distinctly American art, music, literature, poetry, and more while also providing all Americans the opportunity to experience these artistic endeavors by providing sustainable funding for museums, archives, libraries, colleges, universities, public television, public radio, and scholars. Without the funding provided by both the NEA and the NEH, many Americans would not be able to participate in the creation and appreciation of the arts and humanities, a decision that would inordinately effect rural and poor Americans.",1485051561,1487643561,2445146,True,False,"Budget & Taxes, Government & Regulatory Reform, Innovation: Arts & Technology",Take or explain a position on an issue or policy,1485418367,9617,100000,90383,closed,Pledge to continue funding the National Endowment for the Arts and the National Endowment for the Humanities,petition,https://petitions.whitehouse.gov/petition/pledge-continue-funding-national-endowment-arts-and-national-endowment-humanities
246,"For 50 plus years, the corrupt and dysfunctional government of the republic of Cameroon lead by Paul Biya has senselessly killed and marginalized Anglophone Cameroonians with recent killings and imprisonment of opposition leaders. For over four months, Anglophone Cameroonian lawyers, teachers, politicians, and students have been on strike due to the imposition of french laws and educational systems, and marginalization of the Anglophone regions of the country. 

We Americans of Cameroonian origin plead to President Donald J. Trump and the US Congress to call on Paul Biya to listen to the Anglophones and return the country back to the Federal System agreed to in the 1960 independence and unification deal. If Paul Biya does not listen, expel all Cameroonian diplomats from the United States.",1485024892,1487616892,2443081,True,False,"Civil Rights & Equality, Foreign Policy",Take or explain a position on an issue or policy,1485415000,542,100000,99458,closed,Call on the The Republic of Cameroon government to stop the killing and marginalization of Anglophone Cameroonians.,petition,https://petitions.whitehouse.gov/petition/call-republic-cameroon-government-stop-killing-and-marginalization-anglophone-cameroonians
247,"The right to a free, public education is guaranteed in the constitution. States are now passing laws to exclude students based on medical history (SB277 in California), which is a violation of their constitutional rights. It also sets a dangerous precedent to allow the states to mandate medical procedures in order to hold a job (SB792 in California passed already). California is not the only state with laws like these either passed already or in progress. 

Vaccination is a medical procedure with risks and cannot be a requirement in order to have access to the rights the constitution affords us.",1485023575,1487615575,2442946,True,False,Education,Propose a new Administration policy,1485368620,2171,100000,97829,closed,Restore Education as a Constitutional Right &amp; Protect Medical Freedom,petition,https://petitions.whitehouse.gov/petition/restore-education-constitutional-right-protect-medical-freedom
